char	chai	code	pinyin	zijiset	encode
一	一	Ya	yī_yí_yì	GB0	yaa
丁	丁	Ix	dīng_zhēng	GB0	ixx
七	七	Md	qī_qí	GB0	mdd
万	一	YaFj	wàn_mò	GB0	yfja
丈	一	YaOq	zhàng	GB0	yoqa
三	三	Rm	sān	GB0	rmm
上	⺊一	UrYa	shàng_shǎng	GB0	uyar
下	一卜	YaUr	xià	GB0	yura
丌	丌	Dy	jī_qí	GB0	dyyy
不	不	Zv	bù_fǒu_fōu_fū_bú	GB0	zvv
与	丂一	ElYa	yǔ_yù_yú	GB0	eyal
丐	一⺊ㄅ	YaUrLf	gài	GB0	yulf
丑	ヿ土	LfGm	chǒu	GB0	lgmf
专	二丶	NpLfHc	zhuān	GB0	nlhc
且	且	Kx	qiě_jū_cú	GB0	kxx
丕	不一	ZvYa	pī	GB0	zyav
世	廿㇗	DnLf	shì	GB0	dlfn
丘	一	XuYa	qiū	GB0	xyau
丙	一冂人	YaKrJs	bǐng_bìng	GB0	ykjs
业	业	Eo	yè	GB0	eoo
丛	人②一	JsKzYa	cóng	GB0	jkya
东	小	MdDu	dōng	GB0	mdud
丝	纟②	ZjKz	sī	GB0	zkjz
丞	乛水一	LfYqYa	chéng_shèng_zhēng_zhěng	GB0	lyya
丢	丿土厶	JtGmQj	diū	GB0	jgqj
两	两	Ux	liǎng	GB0	uxx
严	一厂	YaEoGj	yán	GB0	yegj
丧	土丷	GmNwPs	sàng_sāng	GB0	gnps
丨	丨	Wf	gǔn	GB0	wff
个	人丨	JsWf	gè_gě_gàn	GB0	jwfs
丫	丷丨	NwWf	yā	GB0	nwfw
丬	丬	Mp	qiáng	GB0	mpp
中	口丨	BlWf	zhōng_zhòng	GB0	bwfl
丰	丰	Fd	fēng	GB0	fdd
串	串	Yf	chuàn_guàn_quàn	GB0	yff
临	〢	FjMvRh	lín	GB0	fmrh
丶	丶	Hc	zhǔ	GB0	hcc
丸	九丶	SmHc	wán	GB0	shcm
丹	⺆亠	KrFc	dān	GB0	kfcr
为	丶力丶	HcVnHc	wèi_wéi	GB0	hvhc
主	丶王	HcAh	zhǔ_zhù	GB0	hahc
丽	一②	YaXtKz	lì_lí	GB0	yxkt
举	⺍	YqIsEn	jǔ	GB0	yien
丿	丿	Jt	piě_yì	GB0	jtt
乃	乃	Ci	nǎi_ǎi	GB0	cii
久	㇏	HjHc	jiǔ	GB0	hhcj
乇	丿七	JtMd	tuō_zhé	GB0	jmdt
么	丿厶	JtQj	me_yāo_mó_ma	GB0	jqjt
义	丶乂	HcOq	yì	GB0	hoqc
之	之	Cj	zhī_zhū_zhì	GB0	cjj
乌	乌	Yw	wū_wù	GB0	yww
乍	乍	Mf	zhà_zuò	GB0	mff
乎	丿丷	JtNwSr	hū	GB0	jnsr
乏	丿之	JtCj	fá	GB0	jcjt
乐	小	KyDu	lè_yuè	GB0	kduy
乒	一丿	XuYaJt	pīng	GB0	xyjt
乓	一丶	XuYaHc	pāng	GB0	xyhc
乔	丿大	JtVuFj	qiáo	GB0	jvfj
乖	千匕	UvMpSk	guāi	GB0	umsk
乘	禾匕	SvMpSk	chéng_shèng	GB0	smsk
乙	乙	Uq	yǐ_yì_jué	GB0	uqq
乜	㇆乚	LfLf	miē_niè	GB0	llff
九	九	Sm	jiǔ_jiū	GB0	smm
乞	𠂉乙	SfUq	qǐ_qì	GB0	suqf
也	也	Oi	yě_yí	GB0	oii
习	习	Km	xí	GB0	kmm
乡	乡	Si	xiāng	GB0	sii
书	ヿ②丨丶	LfKzWfHc	shū	GB0	lkwh
乩	⺊口乚	UrBlLf	jī	GB0	ublf
买	乛⺀大	LfQuVu	mǎi	GB0	lqvu
乱	舌乚	ZmLf	luàn	GB0	zlfm
乳	爫子乚	PuDxLf	rǔ	GB0	pdlf
乾	十早𠂉乙	SrIrSfUq	qián_gān	GB0	sisu
了	了	Df	le_liǎo_liào	GB0	dff
予	予	Wj	yǔ_yú_zhù	GB0	wjj
争	⺈	HjZk	zhēng	GB0	hzkj
事	一口	YaBlZk	shì_zì	GB0	ybzk
二	二	Np	èr	GB0	npp
亍	亍	Kf	chù	GB0	kfff
于	一	YaSr	yú_wéi_yū_xū	GB0	ysra
亏	一丂	YaEl	kuī_yú	GB0	yela
